Year,January,February,March,April,May,June,July,August,September,October,November,December,Average
2012,82.7,81.5,82.3,82.8,82.4,81.8,81.2,81.3,81.4,82.7,83.3,82.6,82.2
2013,82.7,81.8,82.9,83.1,83.3,82.3,81.8,81.2,81.9,82.2,82.5,83.3,82.4
2014,81.7,81.6,82,82.7,83.3,83,81.9,82.5,81.5,82.5,83.3,83.4,82.5
2015,82.6,81.6,82.2,83.5,84.2,82.8,83,82,82.3,84.3,83.1,83.3,82.9
2016,83,82.7,83.2,84.2,83.3,83.2,82.8,83.2,82.4,82.4,82.6,83.3,83
2017,82.6,81.7,82.2,83.1,83.6,82.7,81.8,83,82.7,83.2,83.7,82.8,82.8
2018,88.9,83.3,83.6,83.2,83.6,82.7,81.6,82.4,81.7,83.8,82.8,83.2,83.4
2019,80.4,80.1,80.2,81.6,81.5,81.3,80.8,81.2,81.4,81.4,81.3,80.9,81
2020,80.8,80.4,81.2,81.5,81.1,80.5,80.2,80.3,81,80.4,80.9,80.2,80.7
2021,80.8,80.7,81.1,80.6,81,80.5,80.5,80.3,80.7,80.7,81.7,80.8,80.6
